Unknown
Episyrphus balteatus
Pyrrhocoris apterus
"cicadelles, cercopes et autres"
Gonepteryx cleopatra
Macroglossum stellatarum
Odynerus et autres
"Xysticus, Coriarachne, Ozyptila et autres"
Chrysolina americana
Nymphalis polychloros
Pararge aegeria
Gonepteryx
Aglais io
Libythea celtis
Vespa velutina
Spilostethus pandurus
"Cetonia, Protaetia"
Oxythyrea funesta
Corizus hyoscyami
Myathropa florea
Polyommatus et autres
Tropinota
Anthocharis cardamines
Oreina et autres
Ferdinandea cuprea
Iphiclides podalirius
Issoria lathonia
Eurydema
Trichodes alvearius
Leucozona glaucia
Byturus ochraceus
plusieurs Dasytidae
Ebaeus
Lasiommata
plusieurs Adelidae
"Dorycera, Otites"
Araschnia levana
Callophrys rubi
Melitaea cinxia
"Polyommatus, Plebeius et autres"
Malachius et autres
Platystoma
Lycaena tityrus
Ampedus et autres
Trichodes octopunctatus
"Delta, Discoelius, Eumenes"
"Ectophasia, Phasia"
Eurydema oleracea
"Anisoplia, Phyllopertha"
Graphosoma lineatum
Euclidia glyphica
Zerynthia polyxena
Bibio hortulanus
Melitaea phoebe
Spilostethus saxatilis
Pyrochroa serraticornis
Sapigidae
Dinoptera collaris
Cerambyx scopolii
Tropidothorax leucopterus
Labidostomis
Trichodes apiarius
Calameuta pygmaea
"Lysandra, Plebejus, Polyommatus"
Hemaris fuciformis
Gasteruption
Clytra et autres
Pseudophilotes baton
Melitaea didyma
Himacerus mirmicoides
Agapanthia cardui
Chiasmia clathrata
Anthocomus fasciatus
Alosterna tabacicolor
Volucella pellucens
Athalia rosae
Byturus tomentosus
"Anogcodes, Oedemera"
"Exosoma, Lilioceris lilii"
Opsilia coerulescens
Anoplodera sexguttata
Hoplia argentea
Volucella inflata
Rutpela maculata
"Anogcodes, Ischnomera"
Aporia crataegi
Bombylella atra
Isomira et autres
Hemaris tityus
Stenopterus
"Chrysanthia, Ischnomera"
Tachina grossa
Glaucopsyche alexis
Temnostoma bombylans
Stictoleptura cordigera et autres
Hamearis lucina
Emmelia trabealis
Paracorymbia fulva et autres
Stenurella melanura
Trichius
Siona lineata
Anaglyptus mysticus
Maniola jurtina
Trichodes leucopsideus
Maniola jurtina et autres
Zygaena lavandulae
Lycaena dispar
Thyris fenestrella
Agapanthia
Coenonympha arcania
"Adscita, Jordanita"
"Hycleus, Mylabris"
Odezia atrata
Pseudopanthera macularia
Cerocoma
Megascolia maculata
Volucella zonaria
Brintesia circe
Melanargia galathea
Cryptocephalus vittatus
Melanargia lachesis
Anthaxia nitidula
Chrysotoxum bicinctum
Euphydryas aurinia
Noctua fimbriata
plusieurs Tabanidae
Delta unguiculatum
Hoplia coerulea
Melitaea diamina
Clanoptilus
Hipparchia et autres
Cteniopus
Polyommatus daphnis
Gnorimus nobilis
Colpa quinquecincta
Coptosoma scutellatum
Argynnis paphia
Aphantopus hyperantus
Gaurotes virginea
Lycaena hippothoe
Leptura aurulenta
Pyronia tithonus
Argynnis aglaja
Coenonympha dorus
Stictoleptura rubra
Graphosoma semipunctatum
Miltochrista miniata
Maculinea
Lycaena virgaureae
Pyronia
"Meria, Myzinum"
Chlorophorus varius
Cacyreus marshalli
Minois dryas
Hemipenthes maura
Coptocephala
Aricias nicias
Pyrochroa coccinea
Camptogramma bilineata
Euclidia mi
Anasimyia
Micropterix
Colpa sexmaculata
Milesia crabroniformis
Callimus angulatus
Tiphia femorata
Euplagia quadripunctaria
Hemipenthes velutina
Oecanthus pellucens
Volucella inanis
Polyommatus
Cupido argiades
Pleuroptya ruralis
Idaea aureolaria
Vespula rufa
Lepturobosca virens
Abia fasciata
Thecla betulae
Satyrium spini
Glaucopsyche melanops
Hipparchia fidia
Mutilla europaea
Papilio hospiton
Dascillus cervinus
Zygaena rhadamanthus
Ptinomorphus imperialis
Anthocharis euphenoides
Scolitantides orion
Acmaeodera pilosellae
Ancyrosoma leucogrammes
Maculinea nausithous
Pyronia bathseba
Ptosima undecimmaculata
Eurrhypara hortulata
Satyrium w-album
Chorosoma schillingii
Euphydryas cynthia
Lithosia quadra
Eumedonia eumedon
Milesia semiluctifera
Angerona prunaria
Myrmus miriformis
Zerynthia rumina
Calambus bipustulatus
Timandra comae
Melanargia occitanica
Satyrium pruni
Amata
Coenonympha corinna
Danaus chrysippus
Nudaria mundana
Aromia moschata
Setina aurita
Pelosia
Attagenus punctatus
Usia
Vadonia unipunctata
Parnassius mnemosyne
Erebia manto
Chlorophorus pilosus
Agrius convolvuli
Pyrgus sidae
Atolmis rubricollis
Gnorimus variabilis
Quercusia quercus
Argynnis pandora
Deilephila porcellus
"Paidia, Thumatha"
Utetheisa pulchella
Laspeyria flexula
Laeosopis roboris
Haematopota pluvialis
Phlogophora meticulosa
Rhagium bifasciatum
Psodos quadrifaria
Chlorophorus ruficornis
Laothoe populi
Callimorpha dominula
Opisthograptis luteolata
Melanargia russiae
Eclimus gracilis
Korynetes et autres
Papilio alexanor
Smerinthus ocellata
"Sphinx maurorum, Sphinx pinastri"
Hyles livornica
Heteropterus morpheus
Anarta myrtilli
Dasyscolia ciliata
Proserpinus proserpina
Agriades optilete
"Bena, Pseudoips"
