insecte_sc,insecte_fr
Apis mellifera,L'Abeille mellifère
Bombus,Les Bourdons noirs à bande(s) jaune(s) et cul blanc
Sarcophaga,Les Mouches à damier
Tettigonioidea,Les Sauterelles
"Neomyia, Calliphora et autres",Les Mouches aux reflets métalliques
Diptera,Les Mouches difficiles à déterminer
Tephritidae et autres,Les Téphritides et autres
"Eupeodes, Scaeva",Les Syrphes à taches en virgules
Episyrphus balteatus,Le Syrphe ceinturé
Meliscaeva et autres,Les Syrphes à abdomen fin
Eristalis,Les Eristales (autres)
Coleoptera,Les Coléoptères difficiles à déterminer
Nematocera,"Les Moustiques, Tipules et autres diptères Nématocères"
Pyrrhocoris apterus,Le Gendarme
Pentatomidae,Les Pentatomes
Formicinae,Les Fourmis à pétiole simple
Aphididae,Les Pucerons
Xylocopa violacea,Le Xylocope violet (mâle)
"Syrphus, Dasysyrphus et autres",Les Syrphes Syrphus et autres
Sepsidae,Les Sepsides
"Dolomedes, Pisaura",Les Pisaures
"Cucujidae, Cryptophagidae et autres",Les Petits Clavicornes
"cicadelles, cercopes et autres",Les Homoptères autres
Gonepteryx cleopatra,Le Citron de Provence (mâle)
Scathophaga et autres,Les Mouches pâles
Araneae,Les Araignées
Salticidae,Les Araignées sauteuses
Lycosidae,Les Araignées loup
Coccinella septempunctata,La Coccinelle à 7 points
Lepidoptera,Les Chenilles et fausses-Chenilles
"Halictus, Lasioglossum et autres",Les Halictes (femelles)
Colletes cunicularius et autres,Les Collètes de printemps
Andrena clarkella et autres,Les Abeilles à thorax roux
Apidae et autres,Les Abeilles difficiles à déterminer
Polistes,Les Guêpes Polistes
Eucera et autres,Les Eucères (mâles)
Macroglossum stellatarum,Le Moro-sphinx
Syrphinae,Les Syrphes difficiles à déterminer
Odynerus et autres,Les Guêpes maçonnes à abdomen court
"Xysticus, Coriarachne, Ozyptila et autres",Les Araignées crabes sombres
Chrysolina americana,La Chrysomèle américaine
Merodon et autres,Les Syrphes à l'aspect de bourdon
Andrenidae,Les Andrènes difficiles à déterminer
Nymphalis polychloros,La Grande Tortue
"Anthophora, Eucera",Les Anthophores autres et espèces proches
Chrysotoxum,Les Chrysotoxes
Pararge aegeria,Le Tircis
Xylocopa,Les Xylocopes
Bombus,Les Bourdons noirs à bande(s) jaune(s) et cul rouge
Andrenidae et autres,Les Andrènes rayées difficiles à déterminer
Chalcidoidea,Les Terebrants Chalcidiens et autres
Osmia cornuta et autres,Les Osmies noir et roux (mâles)
Gonepteryx,Les Citrons
Aglais io,Le Paon du jour
Vanessa atalanta,Le Vulcain
"Curculionidae, Apionidae",Les Apions
Coreidae,Les Coréides
Araneidae,Les Epeires et autres Araneidae
Ichneumonidae,Les Ichneumons et autres
Nitidulidae,Les Nitidulides
Aglais urticae,La Petite Tortue
Eristalinus,Les Eristales aux yeux ponctués
Heteroptera,Les Punaises difficiles à déterminer
Thaumatomyia,Les Chloropides jaunes
Larinus et autres,Les Charançons (autres)
Stomorhina lunata,La Stomorhina
Stratiomys,Les Stratiomes jaune et noir
"Helophilus, Parhelophilus",Les Hélophiles
Libythea celtis,L'Echancré
Coccinellidae,Les Coccinelles
Anthophora et autres,Les Anthophores mâles
"Allantus, Macrophya et autres",Les Tenthrèdes noir et blanc
Miridae,Les Mirides
Bombus,Les Bourdons à pilosité fauve à grise
Bombus,Les Bourdons noirs à cul rouge
Pterophoridae,Les Ptérophores
Sphaerophoria scripta,Le Syrphe porte-plume (mâle)
Andrena,Les Andrènes à pilosité noir et blanc
Osmia,Les Osmies
Sphaerophoria,Les Syrphes Sphaerophoria (femelle)
Syrphinae,Les Syrphes aux fémurs enflés
Tachinidae,Les Tachinaires difficiles à déterminer
Polygonia,Le Robert-le-Diable
Acrididae,Les Criquets
Halictidae,Les Halictes (mâles)
Vespa velutina,Le Frelon asiatique
Misumena,Les Araignées crabes Misumena
Oulema,Les Criocères bicolores
Andrena fulva,L'Andrène fauve (femelle)
Formicidae,Les Fourmis difficiles à déterminer
Sphecodes et autres,Les Abeilles à abdomen rouge
Nomada et autres,"Les Abeilles coucou noir, jaune et rouge"
Osmia cornuta et autres,Les Osmies noir et roux (femelles)
Pieris,Les Piérides
Sciaridae,Les Sciarides
"Aculepeira, Neoscona",Les Epeires à dessin de feuille de Chêne
Araniella,Les Epeires concombre
"Bombylius, Systoechus",Les Bombyles
Sphaerophoria,Les Syrphes Sphaerophoria (mâle)
Eristalinus taeniops,L'Eristale taeniops
Melecta,Les Abeilles coucou Melecta
Celastrina argiolus,L'Azuré des Nerpruns (femelle)
Empis et autres,Les Empidides
Spilostethus pandurus,La Viole rouge
Oxyopes,Les Araignées lynx
Collembola,Les Collemboles
Carcharodus et autres,Les Hespéries brunes sans taches
Bombus,Les Bourdons jaune et noir
Gymnosoma,Les Tachinaires fauves à abdomen rond
"Cetonia, Protaetia",Les Cétoines métalliques à marques blanches
Bombus,Les Bourdons à thorax fauve et à abdomen noir et blanc
Thomisus,Les Araignées crabes Thomisus
Oxythyrea funesta,Le Drap mortuaire
Corizus hyoscyami,La Punaise de la Jusquiame
Pompilidae,Les Pompiles
Tenthredinidae,Les Tenthrèdes
Andrena,Les Andrènes à abdomen rouge et noir (autres)
Myathropa florea,L'Eristale des fleurs
Polyommatus et autres,Les Azurés bleus sans chevrons oranges
Lygaeus,Les Lygées rouges à points blancs
Allantus et autres,Les Tenthrèdes noires
"Allantus, Dolerus et autres",Les Tenthrèdes noir et fauve orangé
Tachina et autres,Les Tachinaires fauves velues
Synema globosum,L'Araignée crabe Napoléon
Mesembrina,Les Mouches Mesembrina
Tropinota,Les Cétoines sombres soyeuses
Megachile,Les Mégachiles
Euchloe et autres,Les Piérides marbrées
Conopidae,Les Conopides (autres)
Leptidea,Les Piérides à ailes rondes
Argynnis et autres,Les Nacrés et autres
Anthocharis cardamines,L'Aurore (mâle)
Callophrys,Les Théclas verts (Méditerranée)
Graphomya,Les Graphomyies
Oreina et autres,Les Chrysomèles à motifs
Bibio et autres,Les Bibions et autres
Bombus,Les Bourdons (autres)
Crabronidae,Les Guêpes Crabronidae difficiles à déterminer
Ferdinandea cuprea,La Ferdinandea cuprea
Conops et autres,Les Conopides jaune et noir
Chrysomelidae,Les Chrysomèles bicolores
Cryptocephalus et autres,Les Chrysomèles unies
Iphiclides podalirius,Le Flambé
Pieris,Les Piérides nervurées
Lycaena phlaeas,Le Cuivré commun
Lygus lineolaris,Les Punaises prédatrices ternes
Epeoloides coecutiens,L'Abeille coucou Epeloides (femelle)
Bruchus et autres,Les Bruches
"Vespula, Dolichovespula",Les Guêpes Vespula
Lepidoptera,Les Microlépidoptères difficiles à déterminer
Pyrausta,Les Pyrales pourpres aux dessins jaunes
Dermestidae,Les Dermestes
Philodromus,Les Araignées crabes Philodromus
Amegilla et autres,Les Anthophores rayés et espèces proches
Lepidoptera,Les Lépidoptères difficiles à déterminer
Vanessa cardui,La Belle-Dame
Issoria lathonia,Le Petit Nacré
Dasypoda,Les Abeilles à culottes
Eurydema,Les Punaises Eurydema
Trichodes alvearius,Le Clairon des ruches
Geron,Les Bombyles bossus
Leucozona glaucia,Le Syrphe Leucozona
"Tibellus, Paratibellus",Les Araignées crabes minces
Runcinia grammica,L'Araignée crabe Runcinia
Oulema,Les Chrysomèles Oulema bleues
Cylindromyia,Les Tachinaires à abdomen cylindrique
Rhingia,Les Rhingies
Meloe,Les Triongulins
Byturus ochraceus,Le Byturide aux gros yeux
Ebrechtella tricuspidata,L'Araignée crabe Ebrechtella
Myrmicinae,Les Fourmis à double pétiole
"Stelis, Heriades",Les Mégachiles de petite taille
plusieurs Dasytidae,Les Dasytides noirs
Ebaeus,Les Malachides à thorax rouge
Grammoptera et autres,Les Longicornes entièrement noirs
Anthomyia et autres,Les Mouches tachetées
Chrysopidae,Les Chrysopes
Syritta,Les Syrittes
Lasiommata,Le Satyre et autres
Rhynocoris,Les Réduves
Heteroptera,Les larves de Punaises
Tenthredo et autres,Les Tenthrèdes noir et jaune
plusieurs Adelidae,Les Adèles unies
