insecte_sc,insecte_fr,Ordre,Super famille,Famille,Sous famille,Genre,Espèce
Apis mellifera,L'Abeille mellifère,Hymenoptera,Apoidea,Apidae,Apinae,Apis,Apis mellifera
Bombus,Les Bourdons noirs à bande(s) jaune(s) et cul blanc,Hymenoptera,Apoidea,Apidae,Apinae,Bombus,
Sarcophaga,Les Mouches à damier,Diptera,Oestroidea,Sarcophagidae,Sarcophaginae,Sarcophaga,
Tettigonioidea,Les Sauterelles,Orthoptera,Tettigonioidea,,,,
"Neomyia, Calliphora et autres",Les Mouches aux reflets métalliques,Diptera,Oestroidea,Calliphoridae,Calliphorinae,Calliphora,
Diptera,Les Mouches difficiles à déterminer,Diptera,,,,,
Tephritidae et autres,Les Téphritides et autres,Diptera,Tephritoidea,Tephritidae,,,
"Eupeodes, Scaeva",Les Syrphes à taches en virgules,Diptera,Syrphoidea,Syrphidae,Syrphinae,Scaeva,
Episyrphus balteatus,Le Syrphe ceinturé,Diptera,Syrphoidea,Syrphidae,Syrphinae,Episyrphus,Episyrphus balteatus
Meliscaeva et autres,Les Syrphes à abdomen fin,Diptera,Syrphoidea,Syrphidae,Syrphinae,Meliscaeva,
Eristalis,Les Eristales (autres),Diptera,Syrphoidea,Syrphidae,Eristalinae,Eristalis,
Coleoptera,Les Coléoptères difficiles à déterminer,Coleoptera,,,,,
Nematocera,"Les Moustiques, Tipules et autres diptères Nématocères",Diptera,,,,,
Pyrrhocoris apterus,Le Gendarme,Hemiptera,Pyrrhocoroidea,Pyrrhocoridae,,Pyrrhocoris,Pyrrhocoris apterus
Pentatomidae,Les Pentatomes,Hemiptera,Pentatomoidea,Pentatomidae,,,
Formicinae,Les Fourmis à pétiole simple,Hymenoptera,Formicoidea,Formicidae,Formicinae,,
Aphididae,Les Pucerons,Hemiptera,Aphidoidea,Aphididae,,,
Xylocopa violacea,Le Xylocope violet (mâle),Hymenoptera,Apoidea,Apidae,Xylocopinae,Xylocopa,Xylocopa violacea
"Syrphus, Dasysyrphus et autres",Les Syrphes Syrphus et autres,Diptera,Syrphoidea,Syrphidae,Syrphinae,Dasysyrphus,
Sepsidae,Les Sepsides,Diptera,Sciomyzoidea,Sepsidae,,,
"Dolomedes, Pisaura",Les Pisaures,Araneae,Lycosoidea,Pisauridae,,Pisaura,
"Cucujidae, Cryptophagidae et autres",Les Petits Clavicornes,Coleoptera,Cucujoidea,Cryptophagidae,,,
"cicadelles, cercopes et autres",Les Homoptères autres,Hemiptera,,,,,
Gonepteryx cleopatra,Le Citron de Provence (mâle),Lepidoptera,Papilionoidea,Pieridae,Coliadinae,Gonepteryx,Gonepteryx cleopatra
Scathophaga et autres,Les Mouches pâles,Diptera,Muscoidea,Scathophagidae,Scathophaginae,Scathophaga,
Araneae,Les Araignées,Araneae,,,,,
Salticidae,Les Araignées sauteuses,Araneae,,Salticidae,,,
Lycosidae,Les Araignées loup,Araneae,Lycosoidea,Lycosidae,,,
Coccinella septempunctata,La Coccinelle à 7 points,Coleoptera,Coccinelloidea,Coccinellidae,Coccinellinae,Coccinella,Coccinella septempunctata
Lepidoptera,Les Chenilles et fausses-Chenilles,Lepidoptera,,,,,
"Halictus, Lasioglossum et autres",Les Halictes (femelles),Hymenoptera,Apoidea,Halictidae,Halictinae,Lasioglossum,
Colletes cunicularius et autres,Les Collètes de printemps,Hymenoptera,Apoidea,Colletidae,Colletinae,Colletes,Colletes cunicularius
Andrena clarkella et autres,Les Abeilles à thorax roux,Hymenoptera,Apoidea,Andrenidae,Andreninae,Andrena,Andrena clarkella
Apidae et autres,Les Abeilles difficiles à déterminer,Hymenoptera,Apoidea,Apidae,,,
Polistes,Les Guêpes Polistes,Hymenoptera,Vespoidea,Vespidae,Polistinae,Polistes,
Eucera et autres,Les Eucères (mâles),Hymenoptera,Apoidea,Apidae,Apinae,Eucera,
Macroglossum stellatarum,Le Moro-sphinx,Lepidoptera,Bombycoidea,Sphingidae,Macroglossinae,Macroglossum,Macroglossum stellatarum
Syrphinae,Les Syrphes difficiles à déterminer,Diptera,Syrphoidea,Syrphidae,Syrphinae,,
Odynerus et autres,Les Guêpes maçonnes à abdomen court,Hymenoptera,Vespoidea,Vespidae,Eumeninae,Odynerus,
"Xysticus, Coriarachne, Ozyptila et autres",Les Araignées crabes sombres,Araneae,,Thomisidae,,Ozyptila,
Chrysolina americana,La Chrysomèle américaine,Coleoptera,Chrysomeloidea,Chrysomelidae,Chrysomelinae,Chrysolina,Chrysolina americana
