collection_id,plante_sc,Famille,Genre,Espece,plante_fr,plante_precision,plante_inconnue,plante_caractere,photo_fleur,photo_plante,photo_feuille
14,Plante inconnue,,,,,,0.0,spontanée,https://spgp-api.65mo.fr/api/containers/spgp/download/1546962826333.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1546962826333.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1546962826333.jpg
117,Plante inconnue,,,,,,0.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1550248205773.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1550248205773.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1550248205773.jpg
177,Plante inconnue,,,,,,0.0,spontanée,https://spgp-api.65mo.fr/api/containers/spgp/download/1550596140258.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1550596140258.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1550596140258.jpg
215,,,,,,,1.0,spontanée,https://spgp-api.65mo.fr/api/containers/spgp/download/1550955106190.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1550955106190.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1550955106190.jpg
216,,,,,,,1.0,spontanée,https://spgp-api.65mo.fr/api/containers/spgp/download/1550956177121.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1550956177121.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1550956177121.jpg
279,,,,,,,1.0,spontanée,https://spgp-api.65mo.fr/api/containers/spgp/download/1551356472279.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1551356472279.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1551356472279.jpg
338,Plante inconnue,,,,,,0.0,spontanée,https://spgp-api.65mo.fr/api/containers/spgp/download/1551677493761.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1551677493761.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1551677493761.jpg
421,,,,,,,1.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1552380989996.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1552380989996.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1552380989996.jpg
507,,,,,,,1.0,spontanée,https://spgp-api.65mo.fr/api/containers/spgp/download/1552848792142.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1552848792142.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1552848792142.jpg
572,,,,,,,1.0,spontanée,https://spgp-api.65mo.fr/api/containers/spgp/download/1553270088157.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1553270088157.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1553270088157.jpg
573,,,,,,,1.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1553270226072.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1553270226072.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1553270226072.jpg
724,,,,,,,1.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1553798188859.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1553798188859.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1553798188859.jpg
1 047,Plante inconnue,,,,,,0.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1555011321746.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1555011321746.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1555011321746.jpg
1 059,,,,,,,1.0,spontanée,https://spgp-api.65mo.fr/api/containers/spgp/download/1555073137953.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1555073137953.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1555073137953.jpg
1 128,,,,,,,1.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1555409733012.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1555409733012.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1555409733012.jpg
1 156,,,,,,,1.0,spontanée,https://spgp-api.65mo.fr/api/containers/spgp/download/1555529776304.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1555529776304.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1555529776304.jpg
1 234,,,,,,,1.0,spontanée,https://spgp-api.65mo.fr/api/containers/spgp/download/1555865467855.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1555865467855.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1555865467855.jpg
1 335,,,,,,,1.0,ne se prononce pas,https://spgp-api.65mo.fr/api/containers/spgp/download/1556220339169.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1556220339169.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1556220339169.jpg
1 445,,,,,,,1.0,spontanée,https://spgp-api.65mo.fr/api/containers/spgp/download/1556698305119.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1556698305119.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1556698305119.jpg
1 458,Plante inconnue,,,,,,0.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1556780596570.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1556780596570.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1556780596570.jpg
1 464,Plante inconnue,,,,,,0.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1556786840036.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1556786840036.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1556786840036.jpg
1 465,,,,,,,1.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1556790463338.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1556790463338.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1556790463338.jpg
1 478,Plante inconnue,,,,,,0.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1556813666840.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1556813666840.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1556813666840.jpg
1 558,,,,,,,1.0,spontanée,https://spgp-api.65mo.fr/api/containers/spgp/download/1557179205992.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1557179205992.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1557179205992.jpg
1 664,,,,,,,1.0,spontanée,https://spgp-api.65mo.fr/api/containers/spgp/download/1557738719779.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1557738719779.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1557738719779.jpg
1 693,,,,,,,1.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1557911518929.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1557911518929.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1557911518929.jpg
1 703,,,,,,,1.0,ne se prononce pas,https://spgp-api.65mo.fr/api/containers/spgp/download/1557931021102.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1557931021102.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1557931021102.jpg
1 742,Plante inconnue,,,,,,0.0,spontanée,https://spgp-api.65mo.fr/api/containers/spgp/download/1558070007302.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1558070007302.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1558070007302.jpg
1 790,Plante inconnue,,,,,,0.0,spontanée,https://spgp-api.65mo.fr/api/containers/spgp/download/1558159095360.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1558159095360.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1558159095360.jpg
1 805,,,,,,,1.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1558188842712.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1558188842712.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1558188842712.jpg
1 812,Plante inconnue,,,,,,0.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1558252595996.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1558252595996.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1558252595996.jpg
1 846,,,,,,,1.0,spontanée,https://spgp-api.65mo.fr/api/containers/spgp/download/1558371345516.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1558371345516.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1558371345516.jpg
