collection_id,plante_sc,Famille,Genre,Espece,plante_fr,plante_precision,plante_inconnue,plante_caractere,photo_fleur,photo_plante,photo_feuille
11,Plante inconnue,Fabaceae,Trifolium,Trifolium pratense,,Mahonia faux-houx (Berberis aquifolium),0.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1546593546354.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1546593546354.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1546593546354.jpg
14,Plante inconnue,Acanthaceae,Acanthus,Acanthus spinosus,,,0.0,spontanée,https://spgp-api.65mo.fr/api/containers/spgp/download/1546962826333.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1546962826333.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1546962826333.jpg
25,Plante inconnue,Orchidaceae,Himantoglossum,Himantoglossum hircinum,,Camélia du Japon (Camellia japonica),0.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1547541246980.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1547541246980.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1547541246980.jpg
32,Plante inconnue,Theaceae,Camellia,Camellia sasanqua,,Jasmin d'hiver (Jasminum nudiflorum),0.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1547830837002.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1547830837002.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1547830837002.jpg
62,Plante inconnue,Asteraceae,Bellis,Bellis sylvestris,,polygala myrtifolia,0.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1549486751543.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1549486751543.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1549486751543.jpg
66,Plante inconnue,Ericaceae,Erica,Erica carnea,,Alysson maritime,0.0,spontanée,https://spgp-api.65mo.fr/api/containers/spgp/download/1549604793592.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1549604793592.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1549604793592.jpg
71,Plante inconnue,Fabaceae,Ulex,Ulex europaeus,,Aster,0.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1549646416406.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1549646416406.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1549646416406.jpg
75,Plante inconnue,Asteraceae,Taraxacum,Taraxacum officinale,,Petunia,0.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1549818875471.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1549818875471.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1549818875471.jpg
77,Plante inconnue,Brassicaceae,Erucastrum,Erucastrum nasturtiifolium,,prunus dulcis,0.0,ne se prononce pas,https://spgp-api.65mo.fr/api/containers/spgp/download/1549874667232.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1549874667232.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1549874667232.jpg
84,Plante inconnue,Asteraceae,Senecio,Senecio inaequidens,,Camelia du Japon (Camellia japonica),0.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1549965282694.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1549965282694.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1549965282694.jpg
86,Plante inconnue,Adoxaceae,Viburnum,Viburnum tinus,,arbousier,0.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1550002283766.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1550002283766.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1550002283766.jpg
87,Plante inconnue,Lamiaceae,Rosmarinus,Rosmarinus officinalis,,Chimonanthus praecox,0.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1550008168832.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1550008168832.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1550008168832.jpg
89,Plante inconnue,Rosaceae,Prunus,Prunus spinosa,,jasmin d'hiver,0.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1550051000968.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1550051000968.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1550051000968.jpg
90,Plante inconnue,Ericaceae,Erica,Erica x darleyensis,,Perceneige (Galanthus nivalis),0.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1550053794436.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1550053794436.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1550053794436.jpg
91,Plante inconnue,Asteraceae,Senecio,Senecio vulgaris,,Cognassier du Japon (Chaenomeles japonica),0.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1550054717145.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1550054717145.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1550054717145.jpg
97,Plante inconnue,Oxalidaceae,Oxalis,Oxalis pes-caprae,,néflier,0.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1550085323780.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1550085323780.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1550085323780.jpg
98,Plante inconnue,Asteraceae,Calendula,Calendula arvensis,,Jasmin d'hiver,0.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1550092884650.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1550092884650.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1550092884650.jpg
104,Plante inconnue,Euphorbiaceae,Euphorbia,Euphorbia helioscopia,,Buis des Baléares (Buxus balearica),0.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1550133882666.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1550133882666.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1550133882666.jpg
105,Plante inconnue,Euphorbiaceae,Euphorbia,Euphorbia characias,,Petasites pyrenaicus,0.0,spontanée,https://spgp-api.65mo.fr/api/containers/spgp/download/1550147525765.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1550147525765.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1550147525765.jpg
107,Plante inconnue,Caprifoliaceae,Lonicera,Lonicera fragrantissima,,mahonia,0.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1550158598245.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1550158598245.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1550158598245.jpg
115,Plante inconnue,Plantaginaceae,Veronica,Veronica persica,,Hellebore,0.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1550238435016.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1550238435016.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1550238435016.jpg
117,Plante inconnue,Ranunculaceae,Ficaria,Ficaria verna,,,0.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1550248205773.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1550248205773.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1550248205773.jpg
123,Plante inconnue,Asteraceae,Tussilago,Tussilago farfara,,Jasmin d'hiver,0.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1550314797018.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1550314797018.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1550314797018.jpg
124,Plante inconnue,Violaceae,Viola,Viola x wittrockiana,,Mahonia Charity,0.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1550329418250.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1550329418250.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1550329418250.jpg
125,Plante inconnue,Betulaceae,Corylus,Corylus avellana,,mahonia,0.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1550333215613.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1550333215613.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1550333215613.jpg
131,Plante inconnue,Ranunculaceae,Helleborus,Helleborus foetidus,,fraisier sauvage,0.0,spontanée,https://spgp-api.65mo.fr/api/containers/spgp/download/1550349761932.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1550349761932.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1550349761932.jpg
144,Plante inconnue,Brassicaceae,Diplotaxis,Diplotaxis erucoides,,Jasmin d'hiver (Jasminum nudiflorum),0.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1550422141835.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1550422141835.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1550422141835.jpg
157,Plante inconnue,Iridaceae,Crocus,Crocus vernus,,Jasmin d hiver,0.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1550485668892.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1550485668892.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1550485668892.jpg
166,Plante inconnue,Saxifragaceae,Bergenia,Bergenia cordifolia,,Perce-neige,0.0,spontanée,https://spgp-api.65mo.fr/api/containers/spgp/download/1550565792195.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1550565792195.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1550565792195.jpg
170,Plante inconnue,Ranunculaceae,Helleborus,Helleborus foetidus,,Achillée millefeuille (Achillea millefolium),0.0,spontanée,https://spgp-api.65mo.fr/api/containers/spgp/download/1550581171300.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1550581171300.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1550581171300.jpg
177,Plante inconnue,Fabaceae,Acacia,Acacia saligna,,,0.0,spontanée,https://spgp-api.65mo.fr/api/containers/spgp/download/1550596140258.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1550596140258.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1550596140258.jpg
178,Plante inconnue,Cornaceae,Cornus,Cornus mas,,Jasmin d'hiver,0.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1550596312720.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1550596312720.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1550596312720.jpg
