Unknown
Tettigonoidea
Episyrphus balteatus
Geomyza tripunctata
Pyrrhocoris apterus
Gonepteryx cleopatra
Macroglossum stellatarum
Odynerus et autres
"Xysticus, Coriarachne, Ozyptila et autres"
Chrysolina americana
Nymphalis polychloros
Pararge aegeria
Gonepteryx
Aglais io
Libythea celtis
Lasiocampa quercus
Palomena prasina
"cicadelles, cercopes et autres"
Polygonia c-album
Vespa velutina
Spilostethus pandurus
Cetonia aurata
Oxythyrea funesta
Corizus hyoscyami
Myathropa florea
Polyommatus et autres
Tropinota
Anthocharis cardamines
Ceutorhynchus obstrictus
Je ne sais pas
Ferdinandea cuprea
Oenopia conglobata
Rhaphigaster nebulosa
Iphiclides podalirius
Helophilus pendulus
Neoascia podagrica
Issoria lathonia
Eurydema
Trichodes alvearius
Leucozona glaucia
Oreina et autres
Rhingia campestris
Gonepteryx rhamni
Deuterosminthurus pallipes
Byturus ochraceus
Melanocoryphus albomaculatus
Gonocerus acuteangulatus
plusieurs Dasytidae
Ebaeus
Lasiommata
Tersilochinae
Lochmaea crataegi
Dolycoris baccarum
plusieurs Adelidae
Cladius pectinicornis
Mallota fuciformis
"Dorycera, Otites"
"Cetonia, Protaetia"
Araschnia levana
Callophrys rubi
Phyllobius pyri
Melitaea cinxia
"Polyommatus, Plebeius et autres"
Platycheirus albimanus
Adela reaumurella
Malachius et autres
Hypochrysa elegans
Platystoma
Lycaena tityrus
Attalus minimus
Ampedus et autres
Trichodes octopunctatus
"Delta, Discoelius, Eumenes"
"Ectophasia, Phasia"
Riponnensia splendens
Himacerus mirmicoides
Lasiommata megera
Acompus pallipes
Eurydema oleracea
Psilothrix viridicoerulea
Tytthaspis sedecimpunctata
Bibio varipes
Grapholita
Cydia splendana
"Anisoplia, Phyllopertha"
Graphosoma lineatum
Euclidia glyphica
Grammoptera ruficornis
Zerynthia polyxena
Bibio hortulanus
Melitaea phoebe
Spilostethus saxatilis
Meliscaeva auricollis
Oedemera nobilis
Tachina fera
Pyrausta aurata
Pyrochroa serraticornis
Psilota atra
Sapigidae
Cercopis vulnerata
Carcharodus alceae
Dinoptera collaris
Cerambyx scopolii
Anaspis maculata
Tropidothorax leucopterus
Empis tessellata
Malachius bipustulatus
Chrysogaster solstitialis
Paragus pecchiolii
Labidostomis
Trichodes apiarius
Glyphipterix simpliciella
Polyommatus icarus
Calameuta pygmaea
"Lysandra, Plebejus, Polyommatus"
Hemaris fuciformis
Gasteruption
Clytra et autres
Pseudophilotes baton
Melitaea didyma
Ectophasia crassipennis
Camarota curvipennis
Coenonympha pamphilus
Agapanthia cardui
Chiasmia clathrata
Anthocomus fasciatus
Alosterna tabacicolor
Volucella pellucens
Phania funesta
Peritrechus nubilus
Rhagonycha nigriventris
Helophilus trivittatus
Athalia rosae
Cantharis fusca
Byturus tomentosus
"Anogcodes, Oedemera"
"Exosoma, Lilioceris lilii"
